#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          
100000          -371155.8587    -360089.6673    -11066.1913     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1318.8931       51124.0382      
200000          -512684.5000    -499259.2549    -13425.2451     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1600.0504       41494.2873      
300000          -543787.0124    -529322.6585    -14464.3539     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1723.8936       38488.3226      
400000          -555522.1327    -540494.2927    -15027.8400     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1791.0512       37041.9066      
500000          -583932.9493    -568119.8179    -15813.1314     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1884.6439       35202.8100      
600000          -586236.3092    -570288.3575    -15947.9517     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1900.7121       34901.3707      
700000          -584420.9950    -568519.9820    -15901.0130     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1895.1179       35005.0129      
800000          -581665.8626    -565822.5953    -15843.2673     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1888.2356       35133.5186      
900000          -579522.6820    -563686.9163    -15835.7657     0.0000          0.0000          0.0000          0.0000          0.0000          1000.0000       1887.3415       35148.8853      
