#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          
100000          -43779.5455     -39828.3566     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
200000          -43436.3812     -39485.1923     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
300000          -43723.9868     -39772.7979     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
400000          -42954.8099     -39003.6210     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
500000          -44279.3164     -40328.1275     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
600000          -43389.3116     -39438.1227     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
700000          -43264.6033     -39313.4144     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
800000          -43901.3815     -39950.1926     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
900000          -42676.0254     -38724.8365     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1000000         -44105.5659     -40154.3769     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1100000         -43210.5838     -39259.3949     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1200000         -43089.3295     -39138.1406     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1300000         -42148.7437     -38197.5547     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1400000         -43849.4039     -39898.2150     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1500000         -44365.8797     -40414.6908     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1600000         -43214.7348     -39263.5459     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1700000         -43544.5070     -39593.3181     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1800000         -43790.4045     -39839.2156     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
1900000         -43209.3248     -39258.1359     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2000000         -43211.1761     -39259.9872     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2100000         -43493.7257     -39542.5368     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2200000         -43803.1247     -39851.9358     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2300000         -42911.8846     -38960.6957     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2400000         -43055.3506     -39104.1617     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2500000         -43359.0911     -39407.9022     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2600000         -43915.8914     -39964.7025     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2700000         -43657.6202     -39706.4313     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2800000         -43527.6262     -39576.4373     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
2900000         -43111.6323     -39160.4434     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
3000000         -43738.9522     -39787.7633     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
3100000         -43474.9864     -39523.7975     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
3200000         -43089.4379     -39138.2489     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
3300000         -43915.3464     -39964.1575     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
3400000         -44261.2380     -40310.0491     -3951.1889      0.0000          0.0000          0.0000          0.0000          0.0000          261.0000        0.0000          15625.0000      
