#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          
100000          -6553.5222      -6440.9120      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
200000          -6695.7441      -6583.1339      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
300000          -6626.7453      -6514.1351      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
400000          -6465.2946      -6352.6844      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
500000          -6612.9309      -6500.3206      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
600000          -6614.6787      -6502.0685      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
700000          -6566.9393      -6454.3291      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
800000          -6571.8316      -6459.2214      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
900000          -6593.4915      -6480.8813      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1000000         -6637.2923      -6524.6821      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1100000         -6621.5968      -6508.9866      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1200000         -6538.8337      -6426.2235      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1300000         -6636.5206      -6523.9103      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1400000         -6555.4662      -6442.8560      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1500000         -6618.0709      -6505.4606      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1600000         -6586.9600      -6474.3498      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1700000         -6613.0679      -6500.4577      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1800000         -6607.9953      -6495.3851      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
1900000         -6594.3032      -6481.6929      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2000000         -6573.1548      -6460.5446      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2100000         -6619.9672      -6507.3569      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2200000         -6678.7769      -6566.1666      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2300000         -6577.1986      -6464.5883      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2400000         -6588.0515      -6475.4412      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2500000         -6560.9616      -6448.3513      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2600000         -6581.7805      -6469.1702      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2700000         -6466.4181      -6353.8079      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2800000         -6528.6868      -6416.0766      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
2900000         -6714.2600      -6601.6497      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3000000         -6543.0678      -6430.4575      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3100000         -6551.1925      -6438.5822      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3200000         -6565.4934      -6452.8831      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3300000         -6557.1998      -6444.5895      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3400000         -6638.4666      -6525.8563      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3500000         -6564.3789      -6451.7686      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3600000         -6684.8862      -6572.2759      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3700000         -6595.7222      -6483.1120      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
3800000         -6623.5974      -6510.9872      -112.6102       0.0000          0.0000          0.0000          0.0000          0.0000          157.0000        0.0000          42875.0000      
