#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          
3900000         -834538.2310    117710.1519     -4261.5658      0.0000          0.0000          -947986.8172    -781270.2152    61342.3549      261.0000        538.9580        14499.6113      
4000000         -861795.4183    123164.3688     -4374.0969      0.0000          0.0000          -980585.6902    -810895.5903    58368.8570      261.0000        553.1898        14121.2214      
4100000         -878262.1084    126430.2142     -4579.1959      0.0000          0.0000          -1000113.1267   -829181.2046    57127.0348      261.0000        579.1285        13490.1004      
4200000         -847521.1831    120255.6572     -4346.3698      0.0000          0.0000          -963430.4705    -797286.3949    61914.8812      261.0000        549.6831        14222.9961      
4300000         -888648.8812    124772.3077     -4822.8208      0.0000          0.0000          -1008598.3681   -835963.3569    55423.9457      261.0000        609.9397        12845.5957      
4400000         -895144.6384    124609.7866     -4977.5898      0.0000          0.0000          -1014776.8353   -840757.5181    54039.6397      261.0000        629.5132        12414.8838      
4500000         -868627.5877    123387.6768     -4642.0990      0.0000          0.0000          -987373.1655    -817118.9201    57804.7115      261.0000        587.0839        13308.4117      
4600000         -867612.2596    121955.9472     -4596.4141      0.0000          0.0000          -984971.7928    -815549.2548    58636.4189      261.0000        581.3061        13452.2708      
4700000         -841309.2947    115234.5443     -4446.2921      0.0000          0.0000          -952097.5468    -784303.6386    60265.0487      261.0000        562.3203        13891.9654      
4800000         -865517.2438    123114.8370     -4682.9278      0.0000          0.0000          -983949.1530    -813254.7547    57364.5585      261.0000        592.2475        13190.6643      
4900000         -881009.2339    121624.5379     -4881.9395      0.0000          0.0000          -997751.8323    -824347.2386    54654.3631      261.0000        617.4164        12668.5985      
5000000         -844847.1292    118106.9217     -4498.9533      0.0000          0.0000          -958455.0976    -790498.9769    60102.8361      261.0000        568.9803        13736.5764      
5100000         -866284.9101    119217.6113     -4751.1414      0.0000          0.0000          -980751.3800    -808255.5263    55563.1031      261.0000        600.8744        13015.1053      
5200000         -885329.7302    122370.9995     -4865.6663      0.0000          0.0000          -1002835.0634   -830533.6797    55757.5732      261.0000        615.3583        12703.0708      
5300000         -877515.3177    125989.0501     -4737.9440      0.0000          0.0000          -998766.4238    -826257.9708    55550.5039      261.0000        599.2053        13037.2327      
5400000         -871963.9617    123244.5528     -4657.9814      0.0000          0.0000          -990550.5331    -819534.2098    57042.6336      261.0000        589.0925        13271.3895      
5500000         -873585.6168    122995.8838     -4638.3427      0.0000          0.0000          -991943.1579    -821983.3847    58099.1837      261.0000        586.6088        13316.8765      
5600000         -840159.5321    118062.4818     -4406.7429      0.0000          0.0000          -953815.2710    -787920.6444    62164.3303      261.0000        557.3185        14022.4624      
5700000         -851798.1962    124268.4211     -4375.7709      0.0000          0.0000          -971690.8464    -804797.8526    61165.9631      261.0000        553.4015        14119.1082      
5800000         -855944.2980    122954.7455     -4286.8209      0.0000          0.0000          -974612.2226    -806530.6016    59977.3358      261.0000        542.1520        14411.0657      
5900000         -840446.7175    119730.7287     -4100.5328      0.0000          0.0000          -956076.9134    -791063.2815    63045.3251      261.0000        518.5923        15119.6476      
6000000         -845451.3307    122999.3594     -4079.7184      0.0000          0.0000          -964370.9717    -798039.6009    61727.5860      261.0000        515.9599        15148.1125      
6100000         -867373.9789    128874.2864     -4094.4641      0.0000          0.0000          -992153.8011    -823848.8861    59754.0419      261.0000        517.8248        15091.3803      
6200000         -847598.3554    122030.0453     -4318.0863      0.0000          0.0000          -965310.3143    -797673.9948    60422.6373      261.0000        546.1062        14309.2559      
6300000         -828550.6774    114435.4512     -4350.6636      0.0000          0.0000          -938635.4650    -773167.0857    62590.5775      261.0000        550.2262        14206.0984      
6400000         -824072.3597    114971.4872     -4043.1856      0.0000          0.0000          -935000.6613    -770897.5010    63955.7966      261.0000        511.3396        15288.5739      
6500000         -829251.0894    117574.7086     -4064.0195      0.0000          0.0000          -942761.7786    -779753.3520    65050.5303      261.0000        513.9744        15208.2915      
6600000         -833640.1629    119862.0338     -4114.9550      0.0000          0.0000          -949387.2418    -784738.7244    63410.4395      261.0000        520.4162        15017.6176      
6700000         -813945.2678    115416.8013     -4116.9734      0.0000          0.0000          -925245.0957    -763310.8478    66124.7089      261.0000        520.6715        15011.5866      
6800000         -831330.3220    120443.1885     -4153.5739      0.0000          0.0000          -947619.9366    -783228.1062    63667.1265      261.0000        525.3004        14871.4442      
6900000         -814042.8562    115701.3027     -4114.7214      0.0000          0.0000          -925629.4375    -762694.7827    65124.3021      261.0000        520.3867        15030.2672      
7000000         -808432.3575    120625.1513     -3647.8113      0.0000          0.0000          -925409.6976    -764681.9192    67331.1785      261.0000        461.3368        16933.9150      
7100000         -781387.6477    114398.2910     -3466.5418      0.0000          0.0000          -892319.3970    -735593.2549    71332.8148      261.0000        438.4118        17825.3098      
7200000         -779837.9032    116526.2509     -3427.4615      0.0000          0.0000          -892936.6926    -738316.9218    73439.1862      261.0000        433.4693        18022.5460      
7300000         -799669.5657    116767.6371     -3661.6799      0.0000          0.0000          -912775.5230    -753614.8502    68898.2841      261.0000        463.0908        16887.0404      
7400000         -799777.3980    114027.7841     -3761.2992      0.0000          0.0000          -910043.8829    -750214.0287    68229.1026      261.0000        475.6896        16442.1816      
7500000         -814393.2174    117458.7580     -3813.0071      0.0000          0.0000          -928038.9683    -767707.0577    67727.0463      261.0000        482.2290        16218.2309      
7600000         -804967.3910    119211.0396     -3650.3559      0.0000          0.0000          -920528.0748    -761841.9585    69372.8406      261.0000        461.6586        16926.1897      
7700000         -792862.4495    113511.9092     -3711.0218      0.0000          0.0000          -902663.3369    -742914.8740    68310.4940      261.0000        469.3310        16662.4356      
7800000         -812090.9337    114686.7634     -4140.4580      0.0000          0.0000          -922637.2391    -758725.4441    64147.1619      261.0000        523.6416        14933.8489      
7900000         -811070.0598    117150.9659     -4008.1173      0.0000          0.0000          -924212.9084    -762141.2737    65987.3221      261.0000        506.9045        15414.2929      
8000000         -812725.8167    114149.7852     -4089.6016      0.0000          0.0000          -922786.0002    -760810.4626    66083.4192      261.0000        517.2098        15114.4022      
8100000         -883649.3684    126748.5400     -4640.2290      0.0000          0.0000          -1005757.6795   -834529.8103    56831.0877      261.0000        586.8474        13309.6785      
8200000         -855633.2567    121865.9062     -4483.7964      0.0000          0.0000          -973015.3665    -805039.6059    60083.1963      261.0000        567.0634        13778.0552      
8300000         -843039.9341    118013.1367     -4434.6973      0.0000          0.0000          -956618.3735    -790216.2676    61656.8509      261.0000        560.8539        13931.4208      
8400000         -860424.9730    122134.5660     -4587.3638      0.0000          0.0000          -977972.1752    -808283.6814    58370.4630      261.0000        580.1615        13484.3561      
8500000         -868808.4328    120246.4187     -4825.8371      0.0000          0.0000          -984229.0145    -812480.4185    56310.3608      261.0000        610.3211        12800.0669      
8600000         -909613.1213    128298.1648     -5154.7859      0.0000          0.0000          -1032756.5003   -857844.0561    53146.5127      261.0000        651.9231        11985.5565      
8700000         -911887.5674    126898.6430     -5152.5483      0.0000          0.0000          -1033633.6620   -858934.2875    53359.5823      261.0000        651.6401        11991.9830      
8800000         -885053.6113    123341.8169     -4903.3077      0.0000          0.0000          -1003492.1205   -831639.0567    56205.8931      261.0000        620.1188        12599.3346      
8900000         -894493.9353    120900.0734     -5248.1539      0.0000          0.0000          -1010145.8547   -834860.7772    52773.8793      261.0000        663.7313        11771.0267      
9000000         -921274.9250    125980.6830     -5424.0492      0.0000          0.0000          -1041831.5588   -863041.1219    49268.5200      261.0000        685.9767        11388.2896      
9100000         -906978.8134    127688.9600     -5049.6388      0.0000          0.0000          -1029618.1346   -853248.5522    51689.3745      261.0000        638.6252        12236.7219      
9200000         -900559.6139    123762.5159     -5103.9011      0.0000          0.0000          -1019218.2286   -843121.2540    51961.9823      261.0000        645.4877        12100.1734      
9300000         -886779.3143    116270.7336     -5188.8510      0.0000          0.0000          -997861.1969    -821647.6429    51845.4029      261.0000        656.2313        11917.4434      
9400000         -861755.6096    118565.8943     -4775.9420      0.0000          0.0000          -975545.5619    -804652.2134    57165.6084      261.0000        604.0109        12936.0382      
9500000         -868181.6236    123637.9664     -4705.4138      0.0000          0.0000          -987114.1762    -816108.3056    57053.0862      261.0000        595.0913        13124.9365      
9600000         -853046.2646    122772.5982     -4532.1765      0.0000          0.0000          -971286.6862    -802769.1004    59541.3710      261.0000        573.1820        13631.7244      
9700000         -853706.2706    119441.7842     -4498.7208      0.0000          0.0000          -968649.3341    -797718.9563    57128.5791      261.0000        568.9509        13730.7801      
9800000         -865646.5436    118803.9242     -4704.3458      0.0000          0.0000          -979746.1221    -807675.1006    55987.9354      261.0000        594.9562        13133.5827      
9900000         -870999.6325    121538.4966     -4675.0705      0.0000          0.0000          -987863.0586    -816594.3728    56790.2711      261.0000        591.2538        13231.5111      
10000000        -881471.9151    127674.7877     -4770.9820      0.0000          0.0000          -1004375.7208   -832884.9373    56568.1734      261.0000        603.3836        12951.8463      
10100000        -848667.2287    121713.7961     -4489.9794      0.0000          0.0000          -965891.0454    -798265.2867    60433.1983      261.0000        567.8454        13761.5389      
10200000        -843773.1701    116601.8354     -4566.1379      0.0000          0.0000          -955808.8675    -787457.1629    59707.2523      261.0000        577.4771        13530.3868      
10300000        -873188.5345    123536.4782     -4853.2182      0.0000          0.0000          -991871.7945    -818973.7080    55160.8704      261.0000        613.7840        12725.7077      
10400000        -886727.1761    125599.7260     -4820.6914      0.0000          0.0000          -1007506.2107   -834464.3545    55017.1007      261.0000        609.6704        12826.1811      
10500000        -892112.2048    126922.0399     -4918.0864      0.0000          0.0000          -1014116.1583   -840280.5013    54223.2999      261.0000        621.9879        12560.2801      
10600000        -873738.3634    122668.8647     -4693.7623      0.0000          0.0000          -991713.4658    -820831.5774    57177.0685      261.0000        593.6177        13158.2520      
10700000        -861759.1580    119343.7678     -4640.5723      0.0000          0.0000          -976462.3535    -806946.1878    58542.7912      261.0000        586.8908        13331.4604      
10800000        -834997.7485    120007.4308     -4199.7356      0.0000          0.0000          -950805.4437    -785483.0122    62736.5253      261.0000        531.1384        14720.6004      
10900000        -857858.6326    120239.4722     -4605.9712      0.0000          0.0000          -973492.1335    -803654.6940    58221.5173      261.0000        582.5148        13418.2821      
11000000        -855039.4980    122365.6078     -4423.8225      0.0000          0.0000          -972981.2833    -804898.1568    59975.8304      261.0000        559.4786        13964.3530      
11100000        -859185.9997    118506.6796     -4642.1147      0.0000          0.0000          -973050.5646    -804009.8878    59018.2801      261.0000        587.0859        13306.4118      
11200000        -857963.1996    121868.8690     -4637.3150      0.0000          0.0000          -975194.7536    -805932.9299    58797.1332      261.0000        586.4788        13319.0491      
11300000        -840856.7988    119292.1796     -4375.9294      0.0000          0.0000          -955773.0491    -788924.2878    61210.1956      261.0000        553.4215        14137.7957      
11400000        -836738.1009    117958.8995     -4380.0112      0.0000          0.0000          -950316.9892    -784453.9849    62195.9525      261.0000        553.9378        14103.9353      
11500000        -860178.5720    121914.9524     -4573.2220      0.0000          0.0000          -977520.3024    -810098.6502    60637.3047      261.0000        578.3730        13520.6061      
11600000        -868567.9564    123530.8941     -4681.3671      0.0000          0.0000          -987417.4834    -817666.8879    58308.3614      261.0000        592.0501        13199.4594      
11700000        -837042.5016    116512.8145     -4490.7444      0.0000          0.0000          -949064.5717    -781195.4739    60189.8591      261.0000        567.9421        13761.7896      
11800000        -884263.9493    127211.8899     -4734.9268      0.0000          0.0000          -1006740.9124   -834791.7601    56109.8045      261.0000        598.8237        13048.9194      
11900000        -859456.7559    118065.5084     -4700.6864      0.0000          0.0000          -972821.5779    -802702.0690    57939.4480      261.0000        594.4934        13143.1990      
12000000        -863038.0076    121410.3492     -4517.7074      0.0000          0.0000          -979930.6494    -810357.1285    58485.4360      261.0000        571.3521        13676.8194      
12100000        -868212.3844    119523.5362     -4641.8720      0.0000          0.0000          -983094.0486    -813273.5515    58238.4598      261.0000        587.0552        13312.5910      
12200000        -850679.2803    121296.2505     -4450.6582      0.0000          0.0000          -967524.8727    -800361.9127    60895.9969      261.0000        562.8724        13890.2872      
12300000        -852554.5699    122100.8519     -4375.5076      0.0000          0.0000          -970279.9142    -801200.1509    58979.1936      261.0000        553.3682        14156.4730      
12400000        -808183.1133    116060.1120     -3898.8655      0.0000          0.0000          -920344.3599    -759961.8775    67676.4745      261.0000        493.0875        15852.7520      
12500000        -795515.8652    114482.5960     -3961.0805      0.0000          0.0000          -906037.3808    -745578.4435    67600.0196      261.0000        500.9558        15603.9760      
12600000        -835288.1208    118742.0854     -4315.8037      0.0000          0.0000          -949714.4025    -785283.2072    63627.7617      261.0000        545.8175        14334.9061      
12700000        -822020.4496    114591.6718     -4192.1706      0.0000          0.0000          -932419.9507    -767989.6010    63628.6072      261.0000        530.1817        14759.1193      
12800000        -814108.2838    117763.9021     -3970.1903      0.0000          0.0000          -927901.9956    -765651.6805    65808.6418      261.0000        502.1079        15562.9199      
12900000        -814495.1888    116515.0112     -3990.2542      0.0000          0.0000          -927019.9459    -765533.2425    66572.2535      261.0000        504.6454        15480.0800      
13000000        -794669.5299    112958.8649     -3861.0826      0.0000          0.0000          -903767.3122    -745505.2078    69796.8524      261.0000        488.3091        15998.3339      
13100000        -802270.5542    111507.4702     -3913.0297      0.0000          0.0000          -909864.9947    -748752.1928    66946.1549      261.0000        494.8788        15787.5550      
13200000        -816124.0901    114700.7192     -3990.4418      0.0000          0.0000          -926834.3675    -764099.8855    65324.4749      261.0000        504.6691        15489.7317      
13300000        -836632.5778    117104.8881     -4275.2483      0.0000          0.0000          -949462.2176    -783734.7922    62331.5315      261.0000        540.6885        14499.0536      
13400000        -848374.6252    119346.9689     -4550.8711      0.0000          0.0000          -963170.7231    -795006.3541    59894.5879      261.0000        575.5463        13576.8589      
13500000        -902086.1904    128502.7959     -4852.0266      0.0000          0.0000          -1025736.9598   -852479.9318    54801.9289      261.0000        613.6333        12734.1334      
13600000        -864850.2400    121820.7976     -4739.1584      0.0000          0.0000          -981931.8792    -810687.3331    56814.4108      261.0000        599.3589        13071.4841      
13700000        -827558.1351    117511.5518     -4115.7517      0.0000          0.0000          -940953.9353    -776667.0576    63772.0792      261.0000        520.5170        15012.5258      
13800000        -808406.4042    116243.3995     -3945.8040      0.0000          0.0000          -920703.9997    -757789.1727    65144.1298      261.0000        499.0238        15670.8708      
13900000        -842737.1357    123835.1073     -4182.6752      0.0000          0.0000          -962389.5678    -796696.6439    62366.0330      261.0000        528.9808        14769.7266      
14000000        -851234.6957    120734.2009     -4365.8367      0.0000          0.0000          -967603.0600    -799225.3601    59681.2570      261.0000        552.1451        14151.5610      
14100000        -846985.4164    118655.4209     -4281.0007      0.0000          0.0000          -961359.8367    -794239.2485    60938.3686      261.0000        541.4159        14429.8357      
14200000        -851174.9513    120246.6475     -4359.3212      0.0000          0.0000          -967062.2775    -798431.3003    59427.9797      261.0000        551.3211        14175.6699      
14300000        -868322.3774    125254.4090     -4538.8434      0.0000          0.0000          -989037.9430    -820040.1400    59061.1538      261.0000        574.0252        13622.0097      
14400000        -866540.5900    119963.4260     -4540.4365      0.0000          0.0000          -981963.5795    -812470.1934    58565.5708      261.0000        574.2267        13606.3197      
14500000        -834096.3120    117269.5289     -4339.0501      0.0000          0.0000          -947026.7908    -780885.1707    61917.3368      261.0000        548.7574        14233.8749      
14600000        -845834.8758    116159.9353     -4560.5474      0.0000          0.0000          -957434.2638    -789187.7080    59812.4011      261.0000        576.7701        13553.2951      
14700000        -879196.6167    123612.9779     -4756.4358      0.0000          0.0000          -998053.1589    -825142.1082    55147.9062      261.0000        601.5440        12986.8700      
14800000        -860593.2068    120562.8922     -4611.6373      0.0000          0.0000          -976544.4618    -804861.7364    56376.2315      261.0000        583.2314        13414.4407      
14900000        -859886.6531    122075.3022     -4508.0053      0.0000          0.0000          -977453.9500    -808535.7593    59140.7662      261.0000        570.1251        13713.9472      
15000000        -850037.0229    121754.3272     -4547.7419      0.0000          0.0000          -967243.6082    -798620.4807    59435.8293      261.0000        575.1506        13587.0040      
15100000        -847646.7184    118432.4646     -4535.1893      0.0000          0.0000          -961543.9937    -795340.8833    61855.8465      261.0000        573.5631        13629.9487      
15200000        -829979.4556    119909.0930     -4312.0402      0.0000          0.0000          -945576.5083    -782622.4694    65104.9179      261.0000        545.3415        14328.7778      
15300000        -825126.6446    117730.5801     -4235.3118      0.0000          0.0000          -938621.9129    -773467.8021    62904.8460      261.0000        535.6377        14583.4360      
15400000        -848434.6978    121120.8291     -4416.6978      0.0000          0.0000          -965138.8291    -797500.0130    60420.1408      261.0000        558.5775        13983.0278      
15500000        -849863.4207    119614.0376     -4360.6908      0.0000          0.0000          -965116.7675    -798042.6010    60984.7904      261.0000        551.4943        14173.0217      
15600000        -797023.6686    111959.5012     -4086.9706      0.0000          0.0000          -904896.1992    -743681.6136    66844.3713      261.0000        516.8771        15117.2253      
15700000        -827547.0863    117225.0052     -4322.5938      0.0000          0.0000          -940449.4978    -776754.0097    64363.4688      261.0000        546.6762        14330.3305      
15800000        -850743.1812    116847.8189     -4613.9695      0.0000          0.0000          -962977.0307    -794037.3881    59119.3143      261.0000        583.5263        13409.2376      
15900000        -835922.6607    118977.4797     -4290.3381      0.0000          0.0000          -950609.8023    -784283.0139    61732.1685      261.0000        542.5969        14405.2792      
16000000        -845570.3252    122806.0888     -4314.7267      0.0000          0.0000          -964061.6873    -797276.7390    61274.0086      261.0000        545.6813        14315.3880      
16100000        -852665.7549    122852.1872     -4315.3415      0.0000          0.0000          -971202.6006    -803488.3454    60344.7017      261.0000        545.7590        14317.5084      
16200000        -845710.9339    119302.3686     -4373.4409      0.0000          0.0000          -960639.8617    -793064.7617    60483.8569      261.0000        553.1068        14131.7354      
16300000        -854470.0176    116907.9587     -4576.0450      0.0000          0.0000          -966801.9313    -797646.5607    58903.5863      261.0000        578.7301        13499.7936      
16400000        -865478.8308    123713.5798     -4643.0715      0.0000          0.0000          -984549.3391    -815765.7389    59275.3566      261.0000        587.2069        13308.6771      
16500000        -866665.0179    129781.4563     -4412.9437      0.0000          0.0000          -992033.5305    -823291.0889    59316.5152      261.0000        558.1027        13995.0977      
16600000        -845572.8014    118326.3654     -4573.0617      0.0000          0.0000          -959326.1051    -789473.4450    58206.2967      261.0000        578.3528        13528.8645      
16700000        -890732.5674    125129.4969     -4822.9890      0.0000          0.0000          -1011039.0753   -836812.4369    53832.3185      261.0000        609.9609        12812.3968      
16800000        -828391.6191    117245.2845     -4391.2332      0.0000          0.0000          -941245.6703    -775494.8329    62308.1195      261.0000        555.3570        14071.4630      
16900000        -852937.2422    117461.0174     -4628.2997      0.0000          0.0000          -965769.9598    -796306.6523    58595.6493      261.0000        585.3387        13400.6968      
17000000        -857741.2889    120138.0043     -4562.6510      0.0000          0.0000          -973316.6421    -802854.3921    57596.7069      261.0000        577.0361        13568.9624      
17100000        -859080.0472    117214.6771     -4724.3501      0.0000          0.0000          -971570.3742    -799598.5084    56087.0911      261.0000        597.4861        13075.0787      
17200000        -865625.6968    120670.7099     -4686.9696      0.0000          0.0000          -981609.4371    -812157.7099    58607.2297      261.0000        592.7586        13178.7000      
17300000        -862239.1346    120229.5132     -4719.2221      0.0000          0.0000          -977749.4258    -805832.6227    56142.1539      261.0000        596.8376        13091.5294      
17400000        -869211.7950    121297.6354     -4691.0720      0.0000          0.0000          -985818.3584    -815476.8647    57717.4632      261.0000        593.2775        13165.6903      
17500000        -867086.4828    122104.2866     -4612.9239      0.0000          0.0000          -984577.8455    -815610.7842    59091.8956      261.0000        583.3941        13389.4375      
17600000        -875623.7581    121297.2442     -4774.7122      0.0000          0.0000          -992146.2901    -820627.0957    56539.7625      261.0000        603.8554        12941.3244      
17700000        -879673.6448    121625.6566     -4835.7208      0.0000          0.0000          -996463.5806    -823557.7071    55153.0834      261.0000        611.5711        12774.1826      
17800000        -868433.7448    122492.9028     -4637.0177      0.0000          0.0000          -986289.6300    -815380.9538    57150.2807      261.0000        586.4412        13323.2980      
17900000        -850815.6881    121366.0241     -4480.0106      0.0000          0.0000          -967701.7016    -800073.2347    60430.4900      261.0000        566.5846        13794.4141      
18000000        -855174.1166    121490.3314     -4457.2467      0.0000          0.0000          -972207.2013    -803872.5684    59724.3240      261.0000        563.7057        13862.5118      
18100000        -839850.7614    122341.8064     -4265.7073      0.0000          0.0000          -957926.8604    -791409.6631    61541.7595      261.0000        539.4818        14481.7955      
18200000        -864850.8156    122926.2705     -4469.2759      0.0000          0.0000          -983307.8101    -813937.6196    58688.7664      261.0000        565.2270        13828.2992      
18300000        -865950.1943    120141.9049     -4610.2111      0.0000          0.0000          -981481.8881    -810682.0381    57259.1069      261.0000        583.0510        13398.0490      
18400000        -862514.6015    121834.1975     -4519.8544      0.0000          0.0000          -979828.9446    -808799.3851    57029.3974      261.0000        571.6237        13671.9696      
18500000        -864729.6286    123315.0425     -4706.8194      0.0000          0.0000          -983337.8517    -811025.6378    55746.7430      261.0000        595.2690        13127.4476      
18600000        -832195.9891    116871.4436     -4331.0100      0.0000          0.0000          -944736.4227    -777767.1424    61089.6766      261.0000        547.7406        14275.3226      
18700000        -826332.2287    115094.9723     -4272.2752      0.0000          0.0000          -937154.9258    -771966.1201    62870.1511      261.0000        540.3124        14471.7923      
18800000        -863198.7844    124240.0532     -4523.7980      0.0000          0.0000          -982915.0396    -813270.8680    58414.7853      261.0000        572.1224        13656.3207      
18900000        -865568.6256    125022.0197     -4537.6216      0.0000          0.0000          -986053.0238    -816373.4758    58379.4090      261.0000        573.8707        13615.0921      
19000000        -856849.5044    122298.0042     -4496.5287      0.0000          0.0000          -974650.9798    -805497.2110    58905.1880      261.0000        568.6737        13739.9655      
19100000        -845227.2485    122821.1127     -4323.2882      0.0000          0.0000          -963725.0730    -796276.8476    60610.7315      261.0000        546.7640        14285.9652      
19200000        -840706.2825    117901.2894     -4348.7392      0.0000          0.0000          -954258.8327    -786141.7981    59941.9222      261.0000        549.9828        14205.3640      
19300000        -843338.7472    117629.5920     -4394.0960      0.0000          0.0000          -956574.2432    -788646.3402    60131.0538      261.0000        555.7191        14061.8908      
19400000        -858773.3886    123567.6665     -4660.6023      0.0000          0.0000          -977680.4528    -808571.0297    58949.5338      261.0000        589.4240        13259.8946      
